State,Density Ranking,tesla cars
Alabama,33,33
Alaska,56,32
Arizona,39,65
Arkansas,40,37
California,17,100
Colorado,43,52
Connecticut,6,58
Delaware,11,70
District of Columbia,1,57
Florida,13,53
Georgia,23,51
Hawaii,19,68
Idaho,50,38
Illinois,18,50
Indiana,22,40
Iowa,42,38
Kansas,47,40
Kentucky,29,34
Louisiana,32,30
Maine,44,35
Maryland,10,61
Massachusetts,5,53
Michigan,24,40
Minnesota,36,44
Mississippi,38,27
Missouri,34,34
Montana,54,30
Nebraska,49,31
Nevada,48,76
New Hampshire,27,44
New Jersey,2,67
New Mexico,51,45
New York,12,40
North Carolina,21,46
North Dakota,53,23
Ohio,15,38
Oklahoma,41,29
Oregon,45,57
Pennsylvania,14,43
Rhode Island,3,46
South Carolina,25,38
South Dakota,52,30
Tennessee,26,36
Texas,30,55
Utah,46,67
Vermont,37,42
Virginia,20,52
Washington,28,70
West Virginia,35,32
Wisconsin,31,36
Wyoming,55,0
